Time left;Time right;Open;High;Median;Low;Close;Typical;Volume;Quote asset volume;Weighted;
2026-06-30 22:00:00.000;2026-06-30 22:00:59.999;30505.75;30525.5;30508.875;30492.25;30523.5;30513.75;842;0;30516.1875
2026-06-30 22:01:00.000;2026-06-30 22:01:59.999;30523.25;30525.75;30512.25;30498.75;30507;30510.5;284;0;30509.625
2026-06-30 22:02:00.000;2026-06-30 22:02:59.999;30504.75;30516.25;30508.875;30501.5;30516.25;30511.333333333332;122;0;30512.5625
2026-06-30 22:03:00.000;2026-06-30 22:03:59.999;30518;30520.5;30513.375;30506.25;30508;30511.583333333332;163;0;30510.6875
2026-06-30 22:04:00.000;2026-06-30 22:04:59.999;30508.25;30517.25;30512;30506.75;30514.5;30512.833333333332;55;0;30513.25
2026-06-30 22:05:00.000;2026-06-30 22:05:59.999;30515.25;30524.5;30519.875;30515.25;30521.5;30520.416666666668;108;0;30520.6875
2026-06-30 22:06:00.000;2026-06-30 22:06:59.999;30521.25;30524.75;30522.875;30521;30523;30522.916666666668;63;0;30522.9375
2026-06-30 22:07:00.000;2026-06-30 22:07:59.999;30523;30526.75;30523.375;30520;30522.5;30523.083333333332;115;0;30522.9375
2026-06-30 22:08:00.000;2026-06-30 22:08:59.999;30522.75;30528.5;30525.625;30522.75;30527.25;30526.166666666668;69;0;30526.4375
2026-06-30 22:09:00.000;2026-06-30 22:09:59.999;30526;30528.5;30522.375;30516.25;30519.25;30521.333333333332;143;0;30520.8125
2026-06-30 22:10:00.000;2026-06-30 22:10:59.999;30520;30520;30510;30500;30508;30509.333333333332;190;0;30509
2026-06-30 22:11:00.000;2026-06-30 22:11:59.999;30508.25;30515.25;30511.5;30507.75;30511.5;30511.5;74;0;30511.5
2026-06-30 22:12:00.000;2026-06-30 22:12:59.999;30511;30514.75;30512.375;30510;30511.5;30512.083333333332;40;0;30511.9375
2026-06-30 22:13:00.000;2026-06-30 22:13:59.999;30515.5;30516;30512.125;30508.25;30515.75;30513.333333333332;60;0;30513.9375
2026-06-30 22:14:00.000;2026-06-30 22:14:59.999;30514.5;30518.5;30515.625;30512.75;30516.25;30515.833333333332;61;0;30515.9375
2026-06-30 22:15:00.000;2026-06-30 22:15:59.999;30515;30518;30516.375;30514.75;30517.75;30516.833333333332;34;0;30517.0625
2026-06-30 22:16:00.000;2026-06-30 22:16:59.999;30519.25;30522.75;30518.625;30514.5;30520;30519.083333333332;85;0;30519.3125
2026-06-30 22:17:00.000;2026-06-30 22:17:59.999;30520.5;30529.5;30525;30520.5;30529.5;30526.5;87;0;30527.25
2026-06-30 22:18:00.000;2026-06-30 22:18:59.999;30528.75;30536;30532.25;30528.5;30532.5;30532.333333333332;166;0;30532.375
2026-06-30 22:19:00.000;2026-06-30 22:19:59.999;30530.75;30532.25;30528.125;30524;30529.5;30528.583333333332;96;0;30528.8125
2026-06-30 22:20:00.000;2026-06-30 22:20:59.999;30529.75;30535.25;30531.375;30527.5;30531.25;30531.333333333332;70;0;30531.3125
2026-06-30 22:21:00.000;2026-06-30 22:21:59.999;30531.25;30533.75;30530;30526.25;30528.25;30529.416666666668;32;0;30529.125
2026-06-30 22:22:00.000;2026-06-30 22:22:59.999;30529;30530.75;30529.125;30527.5;30530.75;30529.666666666668;46;0;30529.9375
