Time left;Time right;Open;High;Median;Low;Close;Typical;Volume;Quote asset volume;Weighted;
2026-06-30 22:00:00.000;2026-06-30 22:00:14.999;30505.75;30520.5;30506.375;30492.25;30518.5;30510.416666666668;355;0;30512.4375
2026-06-30 22:00:15.000;2026-06-30 22:00:29.999;30519.5;30525;30520.375;30515.75;30522;30520.916666666668;168;0;30521.1875
2026-06-30 22:00:30.000;2026-06-30 22:00:44.999;30521;30521;30511.625;30502.25;30516;30513.083333333332;175;0;30513.8125
2026-06-30 22:00:45.000;2026-06-30 22:00:59.999;30513.5;30525.5;30515.125;30504.75;30523.5;30517.916666666668;144;0;30519.3125
2026-06-30 22:01:00.000;2026-06-30 22:01:14.999;30523.25;30525.75;30515.375;30505;30515.5;30515.416666666668;138;0;30515.4375
2026-06-30 22:01:15.000;2026-06-30 22:01:29.999;30509.75;30513.25;30506;30498.75;30504.75;30505.583333333332;95;0;30505.375
2026-06-30 22:01:30.000;2026-06-30 22:01:44.999;30505;30514;30509.5;30505;30512.75;30510.583333333332;20;0;30511.125
2026-06-30 22:01:45.000;2026-06-30 22:01:59.999;30510.25;30514.5;30510.375;30506.25;30507;30509.25;31;0;30508.6875
2026-06-30 22:02:00.000;2026-06-30 22:02:14.999;30504.75;30506.5;30504;30501.5;30504.75;30504.25;36;0;30504.375
2026-06-30 22:02:15.000;2026-06-30 22:02:29.999;30508.25;30513.25;30510.375;30507.5;30509.5;30510.083333333332;35;0;30509.9375
2026-06-30 22:02:30.000;2026-06-30 22:02:44.999;30508;30514.75;30510.125;30505.5;30514;30511.416666666668;29;0;30512.0625
2026-06-30 22:02:45.000;2026-06-30 22:02:59.999;30513.25;30516.25;30514.375;30512.5;30516.25;30515;22;0;30515.3125
2026-06-30 22:03:00.000;2026-06-30 22:03:14.999;30518;30519.5;30514.25;30509;30514.75;30514.416666666668;78;0;30514.5
2026-06-30 22:03:15.000;2026-06-30 22:03:29.999;30517.75;30518.75;30515;30511.25;30518;30516;27;0;30516.5
2026-06-30 22:03:30.000;2026-06-30 22:03:44.999;30516.75;30520.5;30516;30511.5;30513.25;30515.083333333332;40;0;30514.625
2026-06-30 22:03:45.000;2026-06-30 22:03:59.999;30515.25;30515.25;30510.75;30506.25;30508;30509.833333333332;18;0;30509.375
2026-06-30 22:04:00.000;2026-06-30 22:04:14.999;30508.25;30509;30507.875;30506.75;30508.5;30508.083333333332;8;0;30508.1875
2026-06-30 22:04:15.000;2026-06-30 22:04:29.999;30508;30514.5;30511.25;30508;30514.5;30512.333333333332;7;0;30512.875
2026-06-30 22:04:30.000;2026-06-30 22:04:44.999;30514;30517.25;30515.625;30514;30517.25;30516.166666666668;17;0;30516.4375
2026-06-30 22:04:45.000;2026-06-30 22:04:59.999;30515.25;30516;30514.375;30512.75;30514.5;30514.416666666668;23;0;30514.4375
2026-06-30 22:05:00.000;2026-06-30 22:05:14.999;30515.25;30524.5;30519.875;30515.25;30519;30519.583333333332;68;0;30519.4375
2026-06-30 22:05:15.000;2026-06-30 22:05:29.999;30520.75;30524.25;30522.25;30520.25;30522.5;30522.333333333332;12;0;30522.375
2026-06-30 22:05:30.000;2026-06-30 22:05:44.999;30523;30524.5;30522.375;30520.25;30522;30522.25;10;0;30522.1875
2026-06-30 22:05:45.000;2026-06-30 22:05:59.999;30522;30522.75;30521;30519.25;30521.5;30521.166666666668;18;0;30521.25
2026-06-30 22:06:00.000;2026-06-30 22:06:14.999;30521.25;30524.75;30523;30521.25;30524.25;30523.416666666668;22;0;30523.625
2026-06-30 22:06:15.000;2026-06-30 22:06:29.999;30522;30523.75;30522.875;30522;30523.5;30523.083333333332;11;0;30523.1875
2026-06-30 22:06:30.000;2026-06-30 22:06:44.999;30522.25;30523.75;30522.375;30521;30523.75;30522.833333333332;16;0;30523.0625
2026-06-30 22:06:45.000;2026-06-30 22:06:59.999;30524;30524.5;30523;30521.5;30523;30523;14;0;30523
2026-06-30 22:07:00.000;2026-06-30 22:07:14.999;30523;30525;30522.5;30520;30523;30522.666666666668;38;0;30522.75
2026-06-30 22:07:15.000;2026-06-30 22:07:29.999;30523.5;30523.5;30523.25;30523;30523.5;30523.333333333332;3;0;30523.375
2026-06-30 22:07:30.000;2026-06-30 22:07:44.999;30525;30526.75;30524.875;30523;30525.25;30525;55;0;30525.0625
2026-06-30 22:07:45.000;2026-06-30 22:07:59.999;30525.75;30526;30524.25;30522.5;30522.5;30523.666666666668;19;0;30523.375
2026-06-30 22:08:00.000;2026-06-30 22:08:14.999;30522.75;30525.75;30524.25;30522.75;30525.75;30524.75;3;0;30525
2026-06-30 22:08:15.000;2026-06-30 22:08:29.999;30524.5;30526.25;30525.125;30524;30524.25;30524.833333333332;11;0;30524.6875
2026-06-30 22:08:30.000;2026-06-30 22:08:44.999;30523.75;30527;30525.375;30523.75;30527;30525.916666666668;17;0;30526.1875
2026-06-30 22:08:45.000;2026-06-30 22:08:59.999;30527.25;30528.5;30527.375;30526.25;30527.25;30527.333333333332;38;0;30527.3125
2026-06-30 22:09:00.000;2026-06-30 22:09:14.999;30526;30528.5;30525.875;30523.25;30523.25;30525;42;0;30524.5625
2026-06-30 22:09:15.000;2026-06-30 22:09:29.999;30524;30524.25;30523;30521.75;30521.75;30522.583333333332;22;0;30522.375
2026-06-30 22:09:30.000;2026-06-30 22:09:44.999;30520;30520;30518.125;30516.25;30518.25;30518.166666666668;64;0;30518.1875
2026-06-30 22:09:45.000;2026-06-30 22:09:59.999;30520.25;30520.75;30519.625;30518.5;30519.25;30519.5;15;0;30519.4375
2026-06-30 22:10:00.000;2026-06-30 22:10:14.999;30520;30520;30518.625;30517.25;30518.25;30518.5;13;0;30518.4375
2026-06-30 22:10:15.000;2026-06-30 22:10:29.999;30515.5;30516.25;30513.125;30510;30512;30512.75;36;0;30512.5625
2026-06-30 22:10:30.000;2026-06-30 22:10:44.999;30512.25;30512.25;30506.125;30500;30503.75;30505.333333333332;103;0;30504.9375
2026-06-30 22:10:45.000;2026-06-30 22:10:59.999;30503.25;30508;30505.625;30503.25;30508;30506.416666666668;38;0;30506.8125
2026-06-30 22:11:00.000;2026-06-30 22:11:14.999;30508.25;30510.25;30509;30507.75;30509.75;30509.25;22;0;30509.375
2026-06-30 22:11:15.000;2026-06-30 22:11:29.999;30510.5;30515.25;30512.875;30510.5;30513;30512.916666666668;16;0;30512.9375
